,link,title,country,region,date,lead_par
474,https://www.theguardian.com/world/2022/feb/25/friday-briefing-ukraines-battle-for-survival,Friday briefing: Ukraine’s battle for survival,Ukraine,N/A,2022-02-25T06:29:23Z,Explosions in Kyiv on second day of Russian offensive… student finance reforms ‘favour wealthy’ … and Peter Sarsgaard on why acting is a comfort
475,https://www.theguardian.com/uk-news/2022/mar/03/ukraine-born-oligarch-mikhail-watford-found-dead-at-home-in-surrey,Ukraine-born oligarch Mikhail Watford found dead at home in Surrey,Ukraine,N/A,2022-03-03T13:14:36Z,Police say death of businessman who made his fortune in oil and gas is unexplained but not suspicious
476,https://www.theguardian.com/world/2022/mar/26/russia-ukraine-war-what-we-know-on-day-31-of-the-invasion,Russia-Ukraine war: what we know on day 31 of the invasion,Ukraine,N/A,2022-03-26T01:27:48Z,Ukraine’s president again calls on Russia to negotiate while Emmanuel Macron is trying assemble a coalition to evacuate civilians from Mariupol
477,https://www.theguardian.com/world/2022/mar/31/the-people-who-keep-the-refugee-trains-running-out-of-ukraine-photo-essay,The people who keep the refugee trains running out of Ukraine – photo essay,Ukraine,N/A,2022-03-31T03:30:37Z,Ukrainian Railways employs more than 230 000 people  and almost all its employees have stayed in the country to work  making long  dangerous journeys every day to get people to safety
478,https://www.theguardian.com/world/2022/feb/25/ukraine-the-wests-role-in-this-unfurling-catastrophe,The unfolding catastrophe in Ukraine is a reckoning for the west | Letters,Ukraine,N/A,2022-02-25T17:04:30Z,When Putin eventually falls  the west must build a better relationship with Russia  writes Gerald Dunning  while Derrick Joad condemns the weakness of Europe’s response to the crisis. Plus letters from David Allen and Larry Johnston
479,https://www.theguardian.com/world/2022/mar/27/what-are-the-un-and-eu-for-if-not-to-care-for-refugees-asks-food-ngo-in-ukraine,Michelin-starred chef criticises response of UN and EU to Ukraine refugee crisis,Ukraine,N/A,2022-03-27T14:38:11Z,José Andrés  who is providing millions of meals for refugees  accuses humanitarian organisations of lack of leadership
480,https://www.theguardian.com/society/2022/mar/05/ukraine-fundraiser-hits-85m-as-charities-say-money-needed-more-than-goods,Ukraine fundraiser hits £85m as charities say money needed more than goods,Ukraine,N/A,2022-03-05T17:45:57Z,Disasters Emergency Committee chief says ‘things people give today might not be what is needed tomorrow’
481,https://www.theguardian.com/world/2022/feb/01/ukraine-crisis-putin-accuses-us-of-ignoring-russian-security-concerns,Ukraine crisis: Putin accuses US of ignoring Russian security concerns,Ukraine,N/A,2022-02-01T19:18:56Z,In first public comments on crisis since December  Putin says west is using Ukraine as ‘tool to hinder Russia’
482,https://www.theguardian.com/world/2022/feb/25/ukraine-bombs-and-bureaucracy-thwart-couples-quest-for-uk-spousal-visa,Ukraine: bombs and bureaucracy thwart couple’s quest for UK spousal visa,Ukraine,N/A,2022-02-25T05:00:04Z,Visa red tape sent Fozan Dar and Ukrainian wife Iryna on fruitless 12-hour round-journey to Kyiv just as Russian bombs began to fall
483,https://www.theguardian.com/world/2022/mar/05/eminent-writers-urge-russian-speakers-to-tell-truth-of-war-in-ukraine,Eminent writers urge Russian speakers to tell truth of war in Ukraine,Ukraine,N/A,2022-03-05T05:00:14Z,Use ‘all possible means of communication’ to directly contact Russian citizens  17 signatories say
484,https://www.theguardian.com/world/2022/feb/24/putin-russian-president-ukraine-invasion-mental-fitness,Decision to invade Ukraine raises questions over Putin’s ‘sense of reality’,Ukraine,N/A,2022-02-24T18:56:46Z,Officials in western capitals concerned by ‘despotic mindset’ of Russian president and rambling Monday speech increased doubts
485,https://www.theguardian.com/film/2022/mar/04/20-of-the-best-films-to-help-understand-whats-happening-in-ukraine,20 of the best films to help understand what’s happening in Ukraine,Ukraine,N/A,2022-03-04T16:19:37Z,Documentaries and fiction features that contextualise the unfolding horrors in the former Soviet republic  as chosen by researchers at Ukraine’s Dovzhenko national film centre in Kyiv
486,https://www.theguardian.com/global-development/2022/mar/24/vigilantes-stalk-ukraine-border-as-sex-traffickers-target-fleeing-women-and-children,Vigilantes stalk Ukraine border as sex traffickers target fleeing women and children,Ukraine,N/A,2022-03-24T06:00:51Z,Volunteers patrol Polish border to fill what they say is a dangerous gap in protection for vulnerable refugees
