,title,url,lead_par,date,country,region
1623,"‘I will not be held prisoner’: the trans women turned back at Ukraine’s borders",https://www.theguardian.com/global-development/2022/mar/22/i-will-not-be-held-prisoner-the-trans-women-turned-back-at-ukraines-borders,"Trans women are reportedly being denied passage to safer countries despite their legal status as women and the danger posed by Russia’s transphobic policies",2022-03-22T11:00:58Z,Russia,None
1624,"‘Key to white survival’: how Putin has morphed into a far-right savior",https://www.theguardian.com/us-news/2022/mar/05/putin-ukraine-invasion-white-nationalists-far-right,"The Russian president’s ‘strong man’ image and disdain for liberals has turned him into a hero for white nationalists",2022-03-05T07:00:18Z,Russia,None
1625,"I have run out of words for the horror of Putin’s crimes in Ukraine | Andrey Kurkov",https://www.theguardian.com/world/2022/mar/13/ukraine-russia-war-putin-crimes-justice,"We remember the murdered bakers the postal workers the animal shelter volunteers and we say: there will be justice",2022-03-13T10:15:55Z,Russia,None
1626,"More than 360000 people have fled war in Ukraine so far says UN ",https://www.theguardian.com/world/2022/feb/27/more-than-360000-people-fled-war-ukraine-so-far-un,"More than 4.5m more could join exodus if fighting spreads according to Ukrainian authorities",2022-02-27T19:20:35Z,Russia,None
1627,"The more Ukraine resists the greater the danger to Nato. It should act now to stop the slaughter | Simon Tisdall",https://www.theguardian.com/commentisfree/2022/mar/06/the-more-ukraine-resists-the-greater-the-danger-to-nato-it-should-act-now-to-stop-the-slaughter,"Western democracies will be sucked into this conflict. It’s time they threatened Vladimir Putin with a no-fly zone ",2022-03-06T07:30:46Z,Russia,None
1628,"Russian planes that enter UK airspace could be detained by government",https://www.theguardian.com/uk-news/2022/mar/08/russian-planes-that-enter-uk-airspace-could-be-detained-by-government,"Transport secretary Grant Shapps says he has made it a criminal offence for any Russian aircraft to enter UK airspace",2022-03-08T23:27:31Z,Russia,None
1629,"Which London-listed Russian firms could be hit by sanctions?",https://www.theguardian.com/world/2022/feb/18/which-london-listed-russian-firms-could-be-hit-by-sanctions,"Exclusive: Firms with UK-traded shares paid the Russian government £39bn in taxes in 2020 so any sanctions would hurt",2022-02-18T08:00:06Z,Russia,None
1630,"‘After the victory’: ruined city of Okhtyrka clings to hope of brighter future",https://www.theguardian.com/world/2022/mar/19/after-the-victory-ruined-city-of-okhtyrka-clings-to-hope-of-brighter-future,"City in north-east Ukraine is a rubble-strewn shadow of the place it once was but its mayor is unbowed",2022-03-19T06:00:19Z,Russia,None
1631,"Morning mail: aged care worker crisis US boosts Europe troops spy agencies clash over Wordle",https://www.theguardian.com/australia-news/2022/feb/03/morning-mail-aged-care-worker-crisis-us-boosts-europe-troops-spy-agencies-clash-over-wordle,"Thursday: Tens of thousands of shifts at aged care facilities are going unfilled amid the Omicron outbreak. Plus: Wordle craze frustrates top intelligence chief",2022-02-02T19:55:30Z,Russia,None
1632,"Meet Natalya Sindeyeva – has she got news for Vladimir Putin",https://www.theguardian.com/film/2022/feb/20/natalya-sindeyeva-russian-tv-dozhd-rain-fuck-this-job-putin,"A new documentary reveals how the director of Russia’s only independent TV channel refused to be cowed by the Kremlin and struggled to bring the truth to her audience",2022-02-20T13:00:04Z,Russia,None
