,link,title,country,region,date,lead_par
782,https://www.theguardian.com/world/2022/mar/10/sergei-lavrov-russia-foreign-minister-propaganda-in-ukraine-talks,Sergei Lavrov prefers propaganda over reality in Ukraine talks,Russia,N/A,2022-03-10T15:03:47Z,Russian foreign minister tells tripartite meeting in Turkey: ‘We have not even attacked Ukraine’
783,https://www.theguardian.com/world/2022/mar/24/russians-fleeing-war-seek-solace-in-istanbul,‘We can’t see the future’: Russians fleeing war seek solace in Istanbul,Russia,N/A,2022-03-24T13:25:17Z,Life in exile is quickly acquiring its own potent anti-Putin politics
784,https://www.theguardian.com/culture/2022/feb/17/stephen-colbert-ukraine-trevor-noah-jimmy-kimmel,Colbert on Ukraine crisis: ‘If you’re feeling confused that’s on purpose’,Russia,N/A,2022-02-17T16:36:44Z,Late-night hosts discuss the US-Russia ‘signaling war’  Trump’s inflated assets and turning Mandela’s house into a luxury hotel
785,https://www.theguardian.com/world/2022/mar/27/un-refugee-agency-accused-over-response-to-ukraine-war,UN refugee agency criticised over response to Ukraine war,Russia,N/A,2022-03-27T13:58:55Z,Major humanitarian bodies appeared ‘disoriented’ by Russian invasion  says Ukraine’s deputy PM
786,https://www.theguardian.com/us-news/2022/mar/08/first-thing-west-mulls-russian-oil-import-ban-over-ukraine-invasion,West mulls oil import ban over Ukraine invasion | First Thing,Russia,N/A,2022-03-08T11:06:22Z,Russia threatens Europe’s gas supplies  and says rejecting its oil would be ‘catastrophic’ for world. Plus  tipping point for Amazon rainforest looms
787,https://www.theguardian.com/uk-news/2022/mar/09/ukrainian-ambassador-calls-on-uk-to-simplify-process-for-refugees,UK ministers considering climbdown on Ukraine visa restrictions,Russia,N/A,2022-03-09T19:13:05Z,Change would mean Ukrainians with temporary visas would be able to bring their relatives to Britain
788,https://www.theguardian.com/world/2022/apr/04/routing-of-russian-forces-from-kyiv-area-will-be-hard-to-repeat-in-eastern-ukraine,Routing of Russian forces from Kyiv area will be hard to repeat in eastern Ukraine,Russia,N/A,2022-04-04T18:28:34Z,Analysis: while Ukrainian troops have strong defensive positions in Donbas they lack the capability to force out the invaders
789,https://www.theguardian.com/commentisfree/2022/feb/26/timidity-greed-and-sloth-why-the-west-always-loses-to-putin,Timidity greed and sloth: why the west always loses to Putin,Russia,N/A,2022-02-26T17:17:15Z,The allies failed to prevent the invasion. Will they now dare to topple Russia’s rogue president?
790,https://www.theguardian.com/world/2022/apr/04/spanish-police-and-fbi-seize-superyacht-in-mallorca-linked-to-putin-ally,Spanish police and FBI seize superyacht in Mallorca linked to Putin ally,Russia,N/A,2022-04-04T14:49:17Z,The £70m vessel is linked to the Russian billionaire Viktor Vekselberg  who has been sanctioned by the UK and US
791,https://www.theguardian.com/world/2022/mar/17/thursday-briefing-britons-home,Thursday briefing: Britons held captive by Iran home at last,Russia,N/A,2022-03-17T06:31:18Z,Nazanin Zaghari-Ratcliffe touches down on British soil … Russia accused of strike on theatre where civilians were sheltering … and why Kenya is flooding
792,https://www.theguardian.com/politics/2022/mar/08/boris-johnson-creates-new-minister-to-deal-with-ukrainian-refugee-crisis,Boris Johnson creates new minister to deal with Ukrainian refugee crisis,Russia,N/A,2022-03-08T20:48:41Z,Succession of Tory MPs condemn Home Office for ‘dragging its feet’ over visa applications
793,https://www.theguardian.com/world/2022/mar/17/philippines-four-day-working-week-rising-costs,Philippines considers four-day working week to combat rising costs,Russia,N/A,2022-03-17T13:14:23Z,Economist calls for compressed working hours with 10-hour days in response to higher fuel prices
794,https://www.theguardian.com/world/2022/mar/08/russian-soldiers-accused-of-firing-on-civilian-vehicles-in-ukraine,Russian soldiers accused of firing on civilian vehicles in Ukraine,Russia,N/A,2022-03-08T15:17:50Z,Civilian deaths reported in incidents including on minibus carrying teachers to an orphanage in Mykolaiv
795,https://www.theguardian.com/sport/blog/2022/mar/02/sport-ioc-russia-ukraine-vladimir-putin-life-death,The soft touches of sport slowly unpick elaborate web with Putin’s regime | Andy Bull,Russia,N/A,2022-03-02T08:00:33Z,Governing bodies are using weasel words  instead of the plain ones needed: invasion  war  murder
