,title,url,lead_par,date,region
29,"Protesters have created camps around Delhi that are virtual cities unto themselves, using donations and their own organizational skills to help their battle against new government farm policies.",https://www.nytimes.com/2021/01/09/world/asia/india-farmers-protest.html,"NEW DELHI — Under a rain-slick tarpaulin, half a dozen elderly women bake roti on a wood-fired griddle — flattening dough, flipping browned bread from dawn until the sun retreats into Delhi’s evening smoke. Anyone who walks in gets served rice and cooked vegetables and, to wash it down, a cumin-flavored yogurt drink.",2021-01-09T17:02:34+0000,Asia Pacific
30,"Singapore’s three major universities have reported zero cases. Their secret: technology, tough penalties and students willing to comply.",https://www.nytimes.com/2021/01/09/world/asia/singapore-coronavirus-universities.html,"SINGAPORE — Every day, the president of the National University of Singapore scans his online dashboard to see how crowded the cafeterias are.",2021-01-09T19:10:33+0000,Asia Pacific
31,"The capital, Islamabad, and most major cities were affected in what was one of the biggest power failures to hit the country of 200 million people.",https://www.nytimes.com/2021/01/09/world/asia/pakistan-blackout-power-failure.html,"ISLAMABAD — Most of Pakistan, including the capital and many of its major cities, lost power early Sunday in one of the biggest blackouts to affect this country of more than 200 million people.",2021-01-09T20:39:50+0000,Asia Pacific
32,"The landslides on the island of Java were set off by heavy rainfall and unstable soil, officials said, and left rescue workers searching for survivors.",https://www.nytimes.com/2021/01/09/world/asia/indonesia-landslide-rains-west-java.html,"JAKARTA, Indonesia — Two landslides set off by heavy rainfall and unstable soil killed at least 12 people on Java, Indonesia’s most populous island, and left rescue workers searching for survivors, disaster officials said Sunday.",2021-01-10T04:52:17+0000,Asia Pacific
33,The 737-500 that crashed near Jakarta was a 26-year-old workhorse without the new technology that plagued the 737 Max.,https://www.nytimes.com/2021/01/10/business/boeing-737-indonesia-plane.html,"The crash of a plane in Indonesia carrying more than 60 people comes at a difficult time for the aviation giant Boeing, which has seen its reputation battered by years of investigations over deadly crashes.",2021-01-10T09:51:32+0000,Asia Pacific
34,The loss of Sriwijaya Air Flight 182 on Saturday was a grim start to the year in a sprawling archipelago nation where barely a year goes by without an air disaster.,https://www.nytimes.com/2021/01/10/world/asia/indonesia-plane-crash.html,[Read more on what we know about the Indonesian plane crash.],2021-01-10T14:39:35+0000,Asia Pacific
35,"Sriwijaya Air Flight 182 crashed into the Java Sea on Saturday minutes after takeoff. The Boeing 737-500 series passenger jet was carrying 62 people, including six crew members.",https://www.nytimes.com/video/world/asia/100000007543451/indonesia-plane-crash-search.html,"Sriwijaya Air Flight 182 crashed into the Java Sea on Saturday minutes after takeoff. The Boeing 737-500 series passenger jet was carrying 62 people, including six crew members.",2021-01-10T17:02:44+0000,Asia Pacific
36,The Chinese Communist Party’s efforts to hide its missteps have taken on new urgency as the anniversary of the world’s first Covid-19 lockdown nears.,https://www.nytimes.com/2021/01/10/world/asia/wuhan-china-coronavirus.html,"At a museum in Wuhan, China, a sprawling exhibition paints a stirring tale of how the city’s sacrifices in a brutal 76-day lockdown led to triumph over the coronavirus and, ultimately, rebirth.",2021-01-10T17:26:43+0000,Asia Pacific
37,A vote on impeaching Trump could come this week.,https://www.nytimes.com/2021/01/10/briefing/trump-impeach-indonesia-virus.html,"Momentum for impeaching President Trump a second time was growing rapidly over the weekend among Democrats and some Republicans, angry over Mr. Trump’s role in the assault on the Capitol building.",2021-01-10T19:27:06+0000,Asia Pacific
38,"The Ghani administration and the Taliban are fighting a public-relations battle, with the government taking more drastic measures to control the flow of information.",https://www.nytimes.com/2021/01/10/world/asia/afghanistan-taliban-information-war.html,"KABUL, Afghanistan — After Ahmad Jawad Hijri saw the wounded children in the hospital and learned of the Afghan airstrike that put them there, killing nine others around their age in northern Afghanistan, he never expected that his response would land him in jail.",2021-01-10T22:40:28+0000,Asia Pacific
