,title,url,lead_par,date,region
33, "Biden to announce new Russian sanctions in Brussels, national security adviser says", https://www.upi.com/Top_News/US/2022/03/22/Biden-Russia-sanctions/8631647976706/, "March 22 (UPI) -- President Joe Biden is expected to announce new sanctions on Russia in response to its invasion of Ukraine when he travels to Brussels this week, a White House official said Tuesday.", March 22 2022, Ukraine
34, "White House spokeswoman Jen Psaki tests positive for COVID-19", https://www.upi.com/Top_News/US/2022/03/22/Jen-Psaki-COVID-19-positive/5521647973314/, "March 22 (UPI) -- White House press secretary Jen Psaki announced Tuesday that she tested positive for COVID-19 for the second time in five months.", March 22 2022, Ukraine
35, "AAA: Avereage gasoline prices drop, but increase fears not over", https://www.upi.com/Top_News/US/2022/03/22/gasoline-prices-AAA-Gas-Buddy/6131647969724/, "March 22 (UPI) -- Average gasoline prices have dropped over the past 10 days after reaching a record-high $4.33 on March 11, giving motorists some hope as the Spring Break and warmer months arrive, according to a new report by AAA.", March 22 2022, Ukraine
36, "LG Electronics suspends shipments to Russia", https://www.upi.com/Top_News/World-News/2022/03/22/LG-Electronics-suspsends-shipments-Russia/8351647953593/, "SEOUL, March 22 (UPI) -- South Korea's LG Electronics has joined several other South Korean companies that stopped shipping their products to Russia in light of its recent invasion of Ukraine.", March 22 2022, Ukraine
37, "Ukraine's women fighters reflect a cultural tradition of feminist independence", https://www.upi.com/Voices/2022/03/22/ukraine-Ukraine-women-fighters-feminism-Russia/5981647950000/, "March 22 (UPI) -- Tens of thousands of Ukrainian women have taken up arms during the war sparked by Russia's invasion. According to media reports, women constitute as much as 15% to 17% of the Ukrainian fighting force.", March 22 2022, Ukraine
38, "Japan protests Russia's withdrawal from World War II peace talks over disputed islands", https://www.upi.com/Top_News/World-News/2022/03/22/japan-Russia-Kuril-Islands-peace-treaty-protest/2991647947833/, "SEOUL, March 22 (UPI) -- Japanese officials on Tuesday called Russia's decision to drop out of peace talks over islands that have been in dispute since World War II "unacceptable" and issued a complaint to the Russian ambassador to Japan.", March 22 2022, Ukraine
39, "Ukraine forces say they've retaken key Kyiv suburb; Biden warns of chemical weapons", https://www.upi.com/Top_News/World-News/2022/03/22/ukraine-russia-war-makariv-kyiv-chemical-weapons/3671647946537/, "March 22 (UPI) -- Ukrainian forces have retaken control of a key suburb of Kyiv and expelled Russian troops, officials said Tuesday, preventing them from encircling the capital that Moscow has been trying to capture for nearly a month.", March 22 2022, Ukraine
40, "EU approves security plan with rapid response force", https://www.upi.com/Top_News/World-News/2022/03/22/belgium-European-Union-approves-bolstered-security-policy/2751647935197/, "March 22 (UPI) -- As Russia wages war in Europe, lawmakers of the European Union approved an ambitious plan to bolster the bloc's security and defense policy that includes establishing a rapid troop deployment capability.", March 22 2022, Ukraine
41, "Biden says Russia has used hypersonic missile in Ukraine, Putin's 'back against the wall'", https://www.upi.com/Top_News/US/2022/03/22/Biden-says-Russia-used-hypersonic-missile-Ukraine/6091647920364/, "March 21 (UPI) -- President Joe Biden says Russia has used hypersonic missiles in its war against Ukraine after Russian forces were slowed by stiff Ukrainian resistance.", March 22 2022, Ukraine
42, "Russia kills 96-year-old survivor of 4 Nazi concentration camps", https://www.upi.com/Top_News/World-News/2022/03/21/ukraine-Russia-kills-Nazi-concentration-camp-survivor/1301647915141/, "March 21 (UPI) -- A 96-year-old who survived four Nazi concentration camps was killed late last week in Russian shelling of his home in the besieged southwestern Ukrainian city of Kharkiv, authorities and officials confirmed Monday.", March 21 2022, Ukraine
